[2026-02-12 12:41:03] CRITICAL: CPU = 83 (warn=70, crit=80)
[2026-02-12 12:41:32] WARNING: CPU = 78 (warn=70, crit=80)
[2026-02-12 12:41:34] CRITICAL: CPU = 117 (warn=70, crit=80)
[2026-02-12 12:41:47] CRITICAL: CPU = 81 (warn=70, crit=80)
[2026-02-12 12:42:12] CRITICAL: CPU = 80 (warn=70, crit=80)
[2026-02-12 12:42:13] CRITICAL: CPU = 80 (warn=70, crit=80)
[2026-02-12 12:42:20] CRITICAL: CPU = 135 (warn=70, crit=80)
[2026-02-12 12:42:24] CRITICAL: CPU = 123 (warn=70, crit=80)
[2026-02-12 12:42:27] CRITICAL: CPU = 108 (warn=70, crit=80)
[2026-02-12 12:42:31] CRITICAL: CPU = 110 (warn=70, crit=80)
[2026-02-12 12:42:31] CRITICAL: CPU = 152 (warn=70, crit=80)
[2026-02-12 12:42:37] CRITICAL: CPU = 112 (warn=70, crit=80)
[2026-02-12 12:42:42] CRITICAL: CPU = 96 (warn=70, crit=80)
[2026-02-12 12:42:43] CRITICAL: CPU = 257 (warn=70, crit=80)
[2026-02-12 12:42:46] CRITICAL: CPU = 102 (warn=70, crit=80)
[2026-02-12 12:42:49] CRITICAL: CPU = 148 (warn=70, crit=80)
[2026-02-12 12:42:53] CRITICAL: CPU = 87 (warn=70, crit=80)
[2026-02-12 12:42:55] CRITICAL: CPU = 190 (warn=70, crit=80)
[2026-02-12 12:42:56] CRITICAL: CPU = 180 (warn=70, crit=80)
[2026-02-12 12:43:02] CRITICAL: CPU = 86 (warn=70, crit=80)
[2026-02-12 12:43:15] CRITICAL: CPU = 151 (warn=70, crit=80)
[2026-02-12 12:43:18] CRITICAL: CPU = 82 (warn=70, crit=80)
[2026-02-12 12:43:33] CRITICAL: CPU = 87 (warn=70, crit=80)
[2026-02-12 12:43:58] CRITICAL: CPU = 105 (warn=70, crit=80)
[2026-02-12 12:43:59] WARNING: CPU = 78 (warn=70, crit=80)
[2026-02-12 12:44:04] CRITICAL: CPU = 129 (warn=70, crit=80)
[2026-02-12 12:44:07] CRITICAL: CPU = 103 (warn=70, crit=80)
[2026-02-12 12:44:17] CRITICAL: CPU = 131 (warn=70, crit=80)
[2026-02-12 12:44:21] CRITICAL: CPU = 139 (warn=70, crit=80)
[2026-02-12 12:44:23] CRITICAL: CPU = 100 (warn=70, crit=80)
[2026-02-12 12:44:29] CRITICAL: CPU = 108 (warn=70, crit=80)
[2026-02-12 12:44:36] CRITICAL: CPU = 180 (warn=70, crit=80)
[2026-02-12 12:44:36] CRITICAL: CPU = 186 (warn=70, crit=80)
[2026-02-12 12:44:42] CRITICAL: CPU = 156 (warn=70, crit=80)
[2026-02-12 12:44:43] CRITICAL: CPU = 200 (warn=70, crit=80)
[2026-02-12 12:44:48] CRITICAL: CPU = 235 (warn=70, crit=80)
[2026-02-12 12:44:51] CRITICAL: CPU = 263 (warn=70, crit=80)
[2026-02-12 12:44:54] CRITICAL: CPU = 96 (warn=70, crit=80)
[2026-02-12 12:45:05] CRITICAL: CPU = 81 (warn=70, crit=80)
[2026-02-12 12:45:13] CRITICAL: CPU = 104 (warn=70, crit=80)
[2026-02-12 12:45:26] CRITICAL: CPU = 92 (warn=70, crit=80)
[2026-02-12 12:46:11] CRITICAL: CPU = 125 (warn=70, crit=80)
[2026-02-12 12:46:26] CRITICAL: CPU = 80 (warn=70, crit=80)
[2026-02-12 12:46:28] CRITICAL: CPU = 97 (warn=70, crit=80)
[2026-02-12 12:46:33] WARNING: CPU = 76 (warn=70, crit=80)
[2026-02-12 12:47:10] WARNING: CPU = 75 (warn=70, crit=80)
